Timestamp: 23-Oct-2014 16:47:08
MaxDeathAge: 100
MaxInitialSugar: 25
MaxMetabolism: 4
MaxVision: 6
MinDeathAge: 60
MinInitialSugar: 5
NumAgents: 400
Replacement: true


"tick","Avg. Metabolism","Avg. Vision","AgentCount"
1.0,2.0,3.0,400
2.0,2.0,3.0,400
3.0,2.0,3.0,400
4.0,2.0,3.0,400
5.0,2.0,3.0,400
6.0,2.0,3.0,400
7.0,2.0,3.0,400
8.0,2.0,3.0,400
9.0,2.0,3.0,400
10.0,2.0,3.0,400
11.0,2.0,3.0,400
12.0,2.0,3.0,400
13.0,2.0,3.0,400
14.0,2.0,3.0,400
15.0,2.0,3.0,400
16.0,2.0,3.0,400
17.0,2.0,3.0,400
18.0,2.0,3.0,400
19.0,2.0,3.0,400
20.0,2.0,3.0,400
21.0,2.0,3.0,400
22.0,2.0,3.0,400
23.0,2.0,3.0,400
24.0,2.0,3.0,400
25.0,1.0,3.0,400
26.0,1.0,3.0,400
27.0,1.0,3.0,400
28.0,1.0,3.0,400
29.0,1.0,3.0,400
30.0,1.0,3.0,400
31.0,1.0,3.0,400
32.0,1.0,3.0,400
33.0,1.0,3.0,400
34.0,1.0,3.0,400
35.0,1.0,3.0,400
36.0,1.0,3.0,400
37.0,1.0,3.0,400
38.0,1.0,3.0,400
39.0,1.0,3.0,400
40.0,1.0,3.0,400
41.0,1.0,3.0,400
42.0,1.0,3.0,400
43.0,1.0,3.0,400
44.0,1.0,3.0,400
45.0,1.0,3.0,400
46.0,1.0,3.0,400
47.0,1.0,3.0,400
48.0,1.0,3.0,400
49.0,1.0,3.0,400
50.0,1.0,3.0,400
51.0,1.0,3.0,400
52.0,1.0,3.0,400
53.0,1.0,3.0,400
54.0,1.0,3.0,400
55.0,1.0,3.0,400
56.0,1.0,3.0,400
57.0,1.0,3.0,400
58.0,1.0,3.0,400
59.0,1.0,3.0,400
60.0,1.0,3.0,400
61.0,1.0,3.0,400
62.0,1.0,3.0,400
63.0,1.0,3.0,400
64.0,1.0,3.0,400
65.0,1.0,3.0,400
66.0,1.0,3.0,400
67.0,1.0,3.0,400
68.0,1.0,3.0,400
69.0,1.0,3.0,400
70.0,1.0,3.0,400
71.0,1.0,3.0,400
72.0,1.0,3.0,400
73.0,1.0,3.0,400
74.0,1.0,3.0,400
75.0,1.0,3.0,400
76.0,1.0,3.0,400
77.0,1.0,3.0,400
78.0,1.0,3.0,400
79.0,1.0,3.0,400
80.0,1.0,3.0,400
81.0,1.0,3.0,400
82.0,1.0,3.0,400
83.0,1.0,3.0,400
84.0,1.0,3.0,400
85.0,1.0,3.0,400
86.0,1.0,3.0,400
87.0,1.0,3.0,400
88.0,1.0,3.0,400
89.0,1.0,3.0,400
90.0,1.0,3.0,400
91.0,1.0,3.0,400
92.0,1.0,3.0,400
93.0,1.0,3.0,400
94.0,1.0,3.0,400
95.0,1.0,3.0,400
96.0,1.0,3.0,400
97.0,1.0,3.0,400
98.0,1.0,3.0,400
99.0,1.0,3.0,400
100.0,1.0,3.0,400
101.0,1.0,3.0,400
102.0,1.0,3.0,400
103.0,1.0,3.0,400
104.0,1.0,3.0,400
105.0,1.0,3.0,400
106.0,1.0,3.0,400
107.0,1.0,3.0,400
108.0,1.0,3.0,400
109.0,1.0,3.0,400
110.0,1.0,3.0,400
111.0,1.0,3.0,400
112.0,1.0,3.0,400
113.0,1.0,3.0,400
114.0,1.0,3.0,400
115.0,1.0,3.0,400
